timestamp;buyer;seller;symbol;currency;price;quantity
-2000000;Paris;Charlie;BANANAS;SEASHELLS;5003.0;1
-2000000;Paris;Penelope;PEARLS;SEASHELLS;9996.0;1
-2000000;Caesar;Penelope;PEARLS;SEASHELLS;9996.0;1
-1998900;Camilla;Paris;BANANAS;SEASHELLS;4998.0;1
-1998700;Charlie;Penelope;BANANAS;SEASHELLS;5000.0;4
-1998700;Caesar;Penelope;BANANAS;SEASHELLS;5000.0;3
-1998600;Charlie;Penelope;BANANAS;SEASHELLS;4997.0;10
-1998500;Paris;Charlie;BANANAS;SEASHELLS;5004.0;1
-1998500;Paris;Caesar;PEARLS;SEASHELLS;10004.0;1
-1998200;Paris;Charlie;BANANAS;SEASHELLS;5003.0;1
-1998000;Paris;Charlie;BANANAS;SEASHELLS;5002.0;1
-1997500;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-1996800;Charlie;Paris;BANANAS;SEASHELLS;4996.0;1
-1996800;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-1996700;Charlie;Paris;PEARLS;SEASHELLS;9995.0;2
-1996700;Charlie;Paris;BANANAS;SEASHELLS;4996.0;2
-1996400;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;6
-1996100;Paris;Charlie;BANANAS;SEASHELLS;5002.0;1
-1996000;Camilla;Pablo;PEARLS;SEASHELLS;9998.0;1
-1995800;Camilla;Paris;BANANAS;SEASHELLS;4996.0;1
-1995800;Penelope;Caesar;PEARLS;SEASHELLS;10004.0;2
-1995800;Penelope;Charlie;PEARLS;SEASHELLS;10004.0;1
-1993600;Charlie;Paris;BANANAS;SEASHELLS;4995.0;1
-1993400;Caesar;Paris;BANANAS;SEASHELLS;4995.0;1
-1993300;Camilla;Paris;PEARLS;SEASHELLS;9998.0;2
-1993300;Camilla;Paris;BANANAS;SEASHELLS;4996.0;2
-1993100;Pablo;Charlie;BANANAS;SEASHELLS;4999.0;1
-1993100;Pablo;Camilla;BANANAS;SEASHELLS;4999.0;1
-1992700;Caesar;Paris;BANANAS;SEASHELLS;4995.0;1
-1992600;Paris;Camilla;BANANAS;SEASHELLS;5000.0;1
-1992600;Paris;Pablo;BANANAS;SEASHELLS;4996.0;1
-1992600;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-1992500;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1991800;Paris;Camilla;BANANAS;SEASHELLS;5000.0;1
-1991400;Paris;Camilla;BANANAS;SEASHELLS;4999.0;1
-1991400;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-1991300;Paris;Camilla;PEARLS;SEASHELLS;10002.0;2
-1991300;Paris;Camilla;BANANAS;SEASHELLS;4999.0;2
-1991200;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1991200;Paris;Charlie;BANANAS;SEASHELLS;4999.0;1
-1990400;Caesar;Penelope;PEARLS;SEASHELLS;10000.0;3
-1989900;Caesar;Paris;PEARLS;SEASHELLS;9998.0;1
-1989800;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-1989800;Charlie;Paris;BANANAS;SEASHELLS;4994.0;1
-1989500;Pablo;Charlie;BANANAS;SEASHELLS;4999.0;5
-1988900;Paris;Charlie;BANANAS;SEASHELLS;5001.0;2
-1988900;Paris;Charlie;PEARLS;SEASHELLS;10005.0;2
-1988700;Charlie;Paris;BANANAS;SEASHELLS;4994.0;1
-1988600;Charlie;Paris;BANANAS;SEASHELLS;4995.0;1
-1987200;Charlie;Gary;BANANAS;SEASHELLS;4994.0;13
-1987100;Paris;Camilla;BANANAS;SEASHELLS;4999.0;1
-1987000;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-1986500;Camilla;Paris;BANANAS;SEASHELLS;4993.0;1
-1986400;Caesar;Paris;PEARLS;SEASHELLS;9998.0;1
-1986100;Charlie;Paris;BANANAS;SEASHELLS;4992.0;2
-1986100;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-1986100;Charlie;Paris;PEARLS;SEASHELLS;9996.0;1
-1986000;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;7
-1985700;Charlie;Paris;BANANAS;SEASHELLS;4992.0;1
-1985000;Charlie;Paris;BANANAS;SEASHELLS;4992.0;1
-1984900;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;4
-1984600;Pablo;Camilla;PEARLS;SEASHELLS;10002.0;5
-1984200;Gina;Charlie;BANANAS;SEASHELLS;4996.0;8
-1984200;Gina;Camilla;BANANAS;SEASHELLS;4996.0;2
-1983500;Gary;Camilla;BANANAS;SEASHELLS;4995.0;9
-1983500;Gary;Charlie;BANANAS;SEASHELLS;4995.0;5
-1983300;Charlie;Caesar;BANANAS;SEASHELLS;4994.0;4
-1983200;Penelope;Charlie;BANANAS;SEASHELLS;4999.0;2
-1982700;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-1982200;Pablo;Charlie;BANANAS;SEASHELLS;4995.0;5
-1981900;Caesar;Paris;BANANAS;SEASHELLS;4992.0;1
-1981800;Charlie;Caesar;BANANAS;SEASHELLS;4994.0;5
-1981800;Camilla;Paris;PEARLS;SEASHELLS;9998.0;1
-1981700;Paris;Charlie;PEARLS;SEASHELLS;10005.0;2
-1981700;Camilla;Paris;PEARLS;SEASHELLS;9998.0;1
-1981700;Paris;Charlie;BANANAS;SEASHELLS;4998.0;2
-1981500;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;5
-1981400;Charlie;Paris;BANANAS;SEASHELLS;4993.0;1
-1980800;Charlie;Paris;BANANAS;SEASHELLS;4992.0;1
-1980600;Camilla;Paris;BANANAS;SEASHELLS;4991.0;1
-1980500;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1980400;Pablo;Charlie;BANANAS;SEASHELLS;4995.0;1
-1980400;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;1
-1980100;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1979800;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;1
-1979700;Penelope;Caesar;BANANAS;SEASHELLS;4998.0;1
-1979700;Paris;Charlie;BANANAS;SEASHELLS;4997.0;1
-1979700;Penelope;Charlie;BANANAS;SEASHELLS;4998.0;5
-1979700;Pablo;Charlie;BANANAS;SEASHELLS;4996.0;5
-1979600;Charlie;Penelope;BANANAS;SEASHELLS;4992.0;2
-1979400;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-1979400;Charlie;Gary;PEARLS;SEASHELLS;9995.0;9
-1979100;Paris;Charlie;BANANAS;SEASHELLS;4998.0;1
-1979100;Paris;Paris;PEARLS;SEASHELLS;9998.0;1
-1978700;Paris;Camilla;BANANAS;SEASHELLS;4996.0;1
-1978700;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-1977700;Charlie;Paris;BANANAS;SEASHELLS;4990.0;1
-1977300;Gary;Pablo;PEARLS;SEASHELLS;9998.0;1
-1977000;Gina;Pablo;PEARLS;SEASHELLS;9998.0;4
-1976900;Paris;Pablo;BANANAS;SEASHELLS;4990.0;1
-1976700;Caesar;Pablo;PEARLS;SEASHELLS;9998.0;2
-1976100;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;3
-1976100;Charlie;Penelope;PEARLS;SEASHELLS;9995.0;8
-1975700;Paris;Penelope;PEARLS;SEASHELLS;10002.0;1
-1975500;Paris;Charlie;BANANAS;SEASHELLS;4993.0;1
-1975400;Gary;Charlie;BANANAS;SEASHELLS;4994.0;16
-1975400;Charlie;Penelope;PEARLS;SEASHELLS;9996.0;2
-1975400;Caesar;Penelope;PEARLS;SEASHELLS;9996.0;2
-1974900;Paris;Charlie;BANANAS;SEASHELLS;4992.0;1
-1974900;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1974400;Paris;Caesar;PEARLS;SEASHELLS;10004.0;2
-1974400;Paris;Charlie;BANANAS;SEASHELLS;4993.0;2
-1974300;Gina;Camilla;PEARLS;SEASHELLS;10002.0;8
-1974300;Gina;Charlie;PEARLS;SEASHELLS;10002.0;3
-1973700;Camilla;Paris;BANANAS;SEASHELLS;4986.0;1
-1973600;Charlie;Paris;BANANAS;SEASHELLS;4985.0;1
-1973600;Gary;Charlie;PEARLS;SEASHELLS;10005.0;9
-1973400;Gary;Charlie;BANANAS;SEASHELLS;4991.0;15
-1973300;Paris;Charlie;BANANAS;SEASHELLS;4990.0;1
-1973000;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-1972800;Charlie;Paris;BANANAS;SEASHELLS;4985.0;1
-1972300;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;1
-1972300;Caesar;Pablo;PEARLS;SEASHELLS;9998.0;3
-1972100;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;4
-1972000;Paris;Charlie;PEARLS;SEASHELLS;10005.0;1
-1972000;Paris;Charlie;BANANAS;SEASHELLS;4991.0;1
-1971700;Charlie;Gina;BANANAS;SEASHELLS;4985.0;12
-1971700;Paris;Pablo;PEARLS;SEASHELLS;9998.0;1
-1971700;Paris;Pablo;BANANAS;SEASHELLS;4985.0;1
-1971700;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;2
-1971700;Charlie;Pablo;BANANAS;SEASHELLS;4985.0;2
-1971500;Charlie;Pablo;BANANAS;SEASHELLS;4985.0;3
-1971400;Penelope;Charlie;BANANAS;SEASHELLS;4989.0;1
-1971400;Penelope;Camilla;BANANAS;SEASHELLS;4989.0;2
-1971400;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-1970600;Paris;Charlie;PEARLS;SEASHELLS;10005.0;2
-1970600;Paris;Charlie;BANANAS;SEASHELLS;4990.0;2
-1970500;Camilla;Pablo;PEARLS;SEASHELLS;9998.0;3
-1970500;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;2
-1970100;Pablo;Charlie;BANANAS;SEASHELLS;4989.0;5
-1970100;Paris;Charlie;BANANAS;SEASHELLS;4990.0;1
-1969700;Paris;Camilla;BANANAS;SEASHELLS;4989.0;1
-1969600;Charlie;Paris;BANANAS;SEASHELLS;4984.0;1
-1969600;Penelope;Caesar;PEARLS;SEASHELLS;10004.0;1
-1969600;Penelope;Charlie;PEARLS;SEASHELLS;10004.0;6
-1969100;Camilla;Paris;BANANAS;SEASHELLS;4984.0;1
-1969000;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
